asset_id,department_id,section_id,location_id,asset_type_code,asset_type_name,installation_date,status,criticality_score
A00024,SNT,S02,S02-LOC5,RELAY,Relay/Interlocking,2024-01-01,ACTIVE,56
A00025,SNT,S02,S02-LOC1,POINT_MACHINE,Point Machine,2018-01-01,ACTIVE,73
A00026,TRD,S02,S02-LOC2,SECTION_INSULATOR,Section Insulator,2012-01-01,ACTIVE,90
A00027,TRD,S02,S02-LOC3,OHE_MAST,OHE Mast,2019-01-01,ACTIVE,51
A00028,TRD,S02,S02-LOC4,SECTION_INSULATOR,Section Insulator,2013-01-01,ACTIVE,68
A00029,TRD,S02,S02-LOC5,OHE_MAST,OHE Mast,2020-01-01,ACTIVE,85
A00030,TRD,S02,S02-LOC1,SECTION_INSULATOR,Section Insulator,2014-01-01,ACTIVE,46
A00031,ENG,S03,S03-LOC2,CULVERT,Culvert,2021-01-01,ACTIVE,63
A00032,ENG,S03,S03-LOC3,TURNOUT,Turnout,2015-01-01,ACTIVE,80
A00033,ENG,S03,S03-LOC4,CULVERT,Culvert,2022-01-01,ACTIVE,41
A00034,ENG,S03,S03-LOC5,TURNOUT,Turnout,2016-01-01,ACTIVE,58
A00035,ENG,S03,S03-LOC1,CULVERT,Culvert,2023-01-01,ACTIVE,75
A00036,SNT,S03,S03-LOC2,SIGNAL,Signal,2017-01-01,ACTIVE,92
A00037,SNT,S03,S03-LOC3,TRACK_CIRCUIT,Track Circuit,2024-01-01,ACTIVE,53
A00038,SNT,S03,S03-LOC4,SIGNAL,Signal,2018-01-01,ACTIVE,70
A00039,SNT,S03,S03-LOC5,TRACK_CIRCUIT,Track Circuit,2012-01-01,ACTIVE,87
A00040,SNT,S03,S03-LOC1,SIGNAL,Signal,2019-01-01,ACTIVE,48
A00041,TRD,S03,S03-LOC2,PORTAL,Portal,2013-01-01,ACTIVE,65
A00042,TRD,S03,S03-LOC3,ATD,Auto Tensioning Device,2020-01-01,ACTIVE,82
A00043,TRD,S03,S03-LOC4,PORTAL,Portal,2014-01-01,ACTIVE,43
A00044,TRD,S03,S03-LOC5,ATD,Auto Tensioning Device,2021-01-01,ACTIVE,60
A00045,TRD,S03,S03-LOC1,PORTAL,Portal,2015-01-01,ACTIVE,77
A00046,ENG,S04,S04-LOC2,BRIDGE,Bridge,2022-01-01,ACTIVE,94
A00047,ENG,S04,S04-LOC3,TRACK,Track,2016-01-01,ACTIVE,55
A00048,ENG,S04,S04-LOC4,BRIDGE,Bridge,2023-01-01,ACTIVE,72
A00049,ENG,S04,S04-LOC5,TRACK,Track,2017-01-01,ACTIVE,89
A00050,ENG,S04,S04-LOC1,BRIDGE,Bridge,2024-01-01,ACTIVE,50
A00051,SNT,S04,S04-LOC2,RELAY,Relay/Interlocking,2018-01-01,ACTIVE,67
A00052,SNT,S04,S04-LOC3,POINT_MACHINE,Point Machine,2012-01-01,ACTIVE,84
A00053,SNT,S04,S04-LOC4,RELAY,Relay/Interlocking,2019-01-01,ACTIVE,45
A00054,SNT,S04,S04-LOC5,POINT_MACHINE,Point Machine,2013-01-01,ACTIVE,62
A00055,SNT,S04,S04-LOC1,RELAY,Relay/Interlocking,2020-01-01,ACTIVE,79
A00056,TRD,S04,S04-LOC2,OHE_MAST,OHE Mast,2014-01-01,ACTIVE,40
A00057,TRD,S04,S04-LOC3,SECTION_INSULATOR,Section Insulator,2021-01-01,ACTIVE,57
A00058,TRD,S04,S04-LOC4,OHE_MAST,OHE Mast,2015-01-01,ACTIVE,74
A00059,TRD,S04,S04-LOC5,SECTION_INSULATOR,Section Insulator,2022-01-01,ACTIVE,91
A00060,TRD,S04,S04-LOC1,OHE_MAST,OHE Mast,2016-01-01,ACTIVE,52
A00061,ENG,S05,S05-LOC2,TURNOUT,Turnout,2023-01-01,ACTIVE,69
A00062,ENG,S05,S05-LOC3,CULVERT,Culvert,2017-01-01,ACTIVE,86
A00063,ENG,S05,S05-LOC4,TURNOUT,Turnout,2024-01-01,ACTIVE,47
A00064,ENG,S05,S05-LOC5,CULVERT,Culvert,2018-01-01,ACTIVE,64
A00065,ENG,S05,S05-LOC1,TURNOUT,Turnout,2012-01-01,ACTIVE,81
A00066,SNT,S05,S05-LOC2,TRACK_CIRCUIT,Track Circuit,2019-01-01,ACTIVE,42
A00067,SNT,S05,S05-LOC3,SIGNAL,Signal,2013-01-01,ACTIVE,59
A00068,SNT,S05,S05-LOC4,TRACK_CIRCUIT,Track Circuit,2020-01-01,ACTIVE,76
A00069,SNT,S05,S05-LOC5,SIGNAL,Signal,2014-01-01,ACTIVE,93
A00070,SNT,S05,S05-LOC1,TRACK_CIRCUIT,Track Circuit,2021-01-01,ACTIVE,54
A00071,TRD,S05,S05-LOC2,ATD,Auto Tensioning Device,2015-01-01,ACTIVE,71
A00072,TRD,S05,S05-LOC3,PORTAL,Portal,2022-01-01,ACTIVE,88
A00073,TRD,S05,S05-LOC4,ATD,Auto Tensioning Device,2016-01-01,ACTIVE,49
A00074,TRD,S05,S05-LOC5,PORTAL,Portal,2023-01-01,ACTIVE,66
A00075,TRD,S05,S05-LOC1,ATD,Auto Tensioning Device,2017-01-01,ACTIVE,83
A00076,ENG,S06,S06-LOC2,TRACK,Track,2024-01-01,ACTIVE,44
A00077,ENG,S06,S06-LOC3,BRIDGE,Bridge,2018-01-01,ACTIVE,61
A00078,ENG,S06,S06-LOC4,TRACK,Track,2012-01-01,ACTIVE,78
A00079,ENG,S06,S06-LOC5,BRIDGE,Bridge,2019-01-01,ACTIVE,95
A00080,ENG,S06,S06-LOC1,TRACK,Track,2013-01-01,ACTIVE,56
A00081,SNT,S06,S06-LOC2,POINT_MACHINE,Point Machine,2020-01-01,ACTIVE,73
A00082,SNT,S06,S06-LOC3,RELAY,Relay/Interlocking,2014-01-01,ACTIVE,90
A00083,SNT,S06,S06-LOC4,POINT_MACHINE,Point Machine,2021-01-01,ACTIVE,51
A00084,SNT,S06,S06-LOC5,RELAY,Relay/Interlocking,2015-01-01,ACTIVE,68
A00085,SNT,S06,S06-LOC1,POINT_MACHINE,Point Machine,2022-01-01,ACTIVE,85
A00086,TRD,S06,S06-LOC2,SECTION_INSULATOR,Section Insulator,2016-01-01,ACTIVE,46
A00087,TRD,S06,S06-LOC3,OHE_MAST,OHE Mast,2023-01-01,ACTIVE,63
A00088,TRD,S06,S06-LOC4,SECTION_INSULATOR,Section Insulator,2017-01-01,ACTIVE,80
A00089,TRD,S06,S06-LOC5,OHE_MAST,OHE Mast,2024-01-01,ACTIVE,41
A00090,TRD,S06,S06-LOC1,SECTION_INSULATOR,Section Insulator,2018-01-01,ACTIVE,58
A00091,ENG,S07,S07-LOC2,CULVERT,Culvert,2012-01-01,ACTIVE,75
A00092,ENG,S07,S07-LOC3,TURNOUT,Turnout,2019-01-01,ACTIVE,92
A00093,ENG,S07,S07-LOC4,CULVERT,Culvert,2013-01-01,ACTIVE,53
A00094,ENG,S07,S07-LOC5,TURNOUT,Turnout,2020-01-01,ACTIVE,70
A00095,ENG,S07,S07-LOC1,CULVERT,Culvert,2014-01-01,ACTIVE,87
A00096,SNT,S07,S07-LOC2,SIGNAL,Signal,2021-01-01,ACTIVE,48
A00097,SNT,S07,S07-LOC3,TRACK_CIRCUIT,Track Circuit,2015-01-01,ACTIVE,65
A00098,SNT,S07,S07-LOC4,SIGNAL,Signal,2022-01-01,ACTIVE,82
A00099,SNT,S07,S07-LOC5,TRACK_CIRCUIT,Track Circuit,2016-01-01,ACTIVE,43
A00100,SNT,S07,S07-LOC1,SIGNAL,Signal,2023-01-01,ACTIVE,60
A00101,TRD,S07,S07-LOC2,PORTAL,Portal,2017-01-01,ACTIVE,77
A00102,TRD,S07,S07-LOC3,ATD,Auto Tensioning Device,2024-01-01,ACTIVE,94
A00103,TRD,S07,S07-LOC4,PORTAL,Portal,2018-01-01,ACTIVE,55
A00104,TRD,S07,S07-LOC5,ATD,Auto Tensioning Device,2012-01-01,ACTIVE,72
A00105,TRD,S07,S07-LOC1,PORTAL,Portal,2019-01-01,ACTIVE,89
A00106,ENG,S08,S08-LOC2,BRIDGE,Bridge,2013-01-01,ACTIVE,50
A00107,ENG,S08,S08-LOC3,TRACK,Track,2020-01-01,ACTIVE,67
A00108,ENG,S08,S08-LOC4,BRIDGE,Bridge,2014-01-01,ACTIVE,84
A00109,ENG,S08,S08-LOC5,TRACK,Track,2021-01-01,ACTIVE,45
A00110,ENG,S08,S08-LOC1,BRIDGE,Bridge,2015-01-01,ACTIVE,62
A00111,SNT,S08,S08-LOC2,RELAY,Relay/Interlocking,2022-01-01,ACTIVE,79
A00112,SNT,S08,S08-LOC3,POINT_MACHINE,Point Machine,2016-01-01,ACTIVE,40
A00113,SNT,S08,S08-LOC4,RELAY,Relay/Interlocking,2023-01-01,ACTIVE,57
A00114,SNT,S08,S08-LOC5,POINT_MACHINE,Point Machine,2017-01-01,ACTIVE,74
A00115,SNT,S08,S08-LOC1,RELAY,Relay/Interlocking,2024-01-01,ACTIVE,91
A00116,TRD,S08,S08-LOC2,OHE_MAST,OHE Mast,2018-01-01,ACTIVE,52
A00117,TRD,S08,S08-LOC3,SECTION_INSULATOR,Section Insulator,2012-01-01,ACTIVE,69
A00118,TRD,S08,S08-LOC4,OHE_MAST,OHE Mast,2019-01-01,ACTIVE,86
A00119,TRD,S08,S08-LOC5,SECTION_INSULATOR,Section Insulator,2013-01-01,ACTIVE,47
A00120,TRD,S08,S08-LOC1,OHE_MAST,OHE Mast,2020-01-01,ACTIVE,64
A00121,ENG,S09,S09-LOC2,TURNOUT,Turnout,2014-01-01,ACTIVE,81
A00122,ENG,S09,S09-LOC3,CULVERT,Culvert,2021-01-01,ACTIVE,42
A00123,ENG,S09,S09-LOC4,TURNOUT,Turnout,2015-01-01,ACTIVE,59
A00124,ENG,S09,S09-LOC5,CULVERT,Culvert,2022-01-01,ACTIVE,76
A00125,ENG,S09,S09-LOC1,TURNOUT,Turnout,2016-01-01,ACTIVE,93
A00126,SNT,S09,S09-LOC2,TRACK_CIRCUIT,Track Circuit,2023-01-01,ACTIVE,54
A00127,SNT,S09,S09-LOC3,SIGNAL,Signal,2017-01-01,ACTIVE,71
A00128,SNT,S09,S09-LOC4,TRACK_CIRCUIT,Track Circuit,2024-01-01,ACTIVE,88
A00129,SNT,S09,S09-LOC5,SIGNAL,Signal,2018-01-01,ACTIVE,49
A00130,SNT,S09,S09-LOC1,TRACK_CIRCUIT,Track Circuit,2012-01-01,ACTIVE,66
A00131,TRD,S09,S09-LOC2,ATD,Auto Tensioning Device,2019-01-01,ACTIVE,83
A00132,TRD,S09,S09-LOC3,PORTAL,Portal,2013-01-01,ACTIVE,44
A00133,TRD,S09,S09-LOC4,ATD,Auto Tensioning Device,2020-01-01,ACTIVE,61
A00134,TRD,S09,S09-LOC5,PORTAL,Portal,2014-01-01,ACTIVE,78
A00135,TRD,S09,S09-LOC1,ATD,Auto Tensioning Device,2021-01-01,ACTIVE,95
A00136,ENG,S10,S10-LOC2,TRACK,Track,2015-01-01,ACTIVE,56
A00137,ENG,S10,S10-LOC3,BRIDGE,Bridge,2022-01-01,ACTIVE,73
A00138,ENG,S10,S10-LOC4,TRACK,Track,2016-01-01,ACTIVE,90
A00139,ENG,S10,S10-LOC5,BRIDGE,Bridge,2023-01-01,ACTIVE,51
A00140,ENG,S10,S10-LOC1,TRACK,Track,2017-01-01,ACTIVE,68
A00141,SNT,S10,S10-LOC2,POINT_MACHINE,Point Machine,2024-01-01,ACTIVE,85
A00142,SNT,S10,S10-LOC3,RELAY,Relay/Interlocking,2018-01-01,ACTIVE,46
A00143,SNT,S10,S10-LOC4,POINT_MACHINE,Point Machine,2012-01-01,ACTIVE,63
A00144,SNT,S10,S10-LOC5,RELAY,Relay/Interlocking,2019-01-01,ACTIVE,80
A00145,SNT,S10,S10-LOC1,POINT_MACHINE,Point Machine,2013-01-01,ACTIVE,41
A00146,TRD,S10,S10-LOC2,SECTION_INSULATOR,Section Insulator,2020-01-01,ACTIVE,58
A00147,TRD,S10,S10-LOC3,OHE_MAST,OHE Mast,2014-01-01,ACTIVE,75
A00148,TRD,S10,S10-LOC4,SECTION_INSULATOR,Section Insulator,2021-01-01,ACTIVE,92
A00149,TRD,S10,S10-LOC5,OHE_MAST,OHE Mast,2015-01-01,ACTIVE,53
A00150,TRD,S10,S10-LOC1,SECTION_INSULATOR,Section Insulator,2022-01-01,ACTIVE,70
